Sun, 7155174.690346, 0.041959
Mercury, -16553930805.572784, 0.391615
Venus, 13360761004.080803, 0.185123
Moon, -15193681747.496166, 0.500333
Earth, -15148420280.195759, 0.495408
Phobos, -6223277721.323059, 0.122636
Deimos, -6255653531.601425, 0.122660
Mars, -6231079787.393616, 0.122563
Io, -6768104060.893509, 0.239943
Europa, -5656446963.472157, 0.217955
Ganymede, -6774691044.753044, 0.238835
Callisto, -9899864531.055935, 0.272920
Amalthea, -5048612010.826374, 0.201695
Himalia, -2621690292.762257, 0.140132
Elara, 13116080623.086147, 0.245497
Pasiphae, -487327232.592615, 0.028473
Sinope, 17571525329.111656, 0.177481
Lysithea, -5817811646.284748, 0.174554
Carme, -9136199523.998806, 0.176159
Ananke, -1499595653.150200, 0.112352
Leda, -13741474835.234177, 0.476837
Thebe, -5878630718.760159, 0.227805
Adrastea, -5230129616.216026, 0.200368
Metis, -5922797961.551727, 0.210043
Callirrhoe, 18821081383.957687, 0.067331
Themisto, 7897063187.330780, 0.235314
Megaclite, 31848018928.166122, 0.636430
Taygete, 3087269848.438984, 1.277690
Chaldene, 3471903783.398476, 0.007067
Harpalyke, -15134533048.886053, 0.028676
Kalyke, -5077516590.501890, 0.867274
Iocaste, -35912021434.301575, 0.300850
Erinome, -3665007931.657351, 0.446369
Isonoe, -7137628076.807793, 0.144211
Praxidike, -9184971417.469456, 0.419151
Autonoe, 3018781481.296585, 0.116866
Thyone, -8295710763.052235, 0.391953
Hermippe, 15418244147.959925, 1.623832
Aitne, -7295963638.335464, 0.172335
Eurydome, -20494757797.541470, 5.792603
Euanthe, -6161610872.291786, 0.198863
Euporie, 18265101852.430923, 2.092523
Orthosie, -14850644202.729874, 0.641188
Sponde, 49056804673.121613, 6.520651
Kale, -5949460981.616432, 0.112241
Pasithee, -9684626817.250237, 0.318259
Hegemone, -4217443577.402897, 0.342852
Mneme, -2093129513.539003, 0.424765
Aoede, -5203133809.152081, 0.177625
Thelxinoe, 18437428432.822044, 1.686502
Arche, -12130073040.282034, 0.432731
Kallichore, -6057740069.904526, 0.312552
Helike, -5805345515.334747, 0.127097
Carpo, -5927320976.885162, 0.320473
Eukelade, -10993424878.189507, 0.400987
Cyllene, -14421305235.056976, 0.098503
Kore, -984126473.187366, 1.740199
Herse, -7331368617.950226, 0.120263
2010J1, 970282353.641077, 0.086302
2010J2, -782384511.344967, 0.131787
Dia, -5346123886.454079, 0.275929
2016J1, -21130322555.141167, 0.294427
2003J18, 10368386623.528643, 1.378781
2011J2, -3311505089.540083, 0.269059
Eirene, -5417428759.287180, 0.604268
Philophrosyne, -2000130789.367374, 0.045671
2017J1, -10677331957.851599, 0.327184
Eupheme, -21902318656.582962, 0.663788
2003J19, -6390459308.307360, 0.626180
Valetudo, 259492757.541977, 0.416957
2017J2, -7429646018.232643, 0.139840
2017J3, -1261257845.611813, 0.091404
Pandia, 21526238297.179356, 0.099548
2017J5, -11012069180.970211, 13.412903
2017J6, -15004626522.032856, 0.459371
2017J7, -694793597.321674, 1.628387
2017J8, -12239485831.326820, 5.718378
2017J9, -14137662889.266373, 0.596339
Ersa, -35614700400.585007, 0.673561
2011J1, -5322813003.983950, 0.455906
2003J2, -11494752665.306232, 0.294807
2003J4, 847747430.850589, 1.159327
2003J9, -4738751723.338001, 0.186227
2003J10, -5792479215.705658, 0.214511
2003J12, 11650935873.782997, 0.383902
2003J16, -1128461370.301054, 0.592489
2003J23, -27963688066.940582, 0.524424
2003J24, -6807959085.533116, 0.510917
Jupiter, -5665362779.738380, 0.214824
Mimas, -5682747400.737915, 0.005671
Enceladus, -5253458610.198364, 0.005334
Tethys, -5685920102.720215, 0.005758
Dione, -6184811841.288940, 0.006093
Rhea, -5285486191.894531, 0.005374
Titan, -7190523964.869629, 0.007231
Hyperion, -4661114267.129150, 0.004216
Iapetus, -9639172980.301880, 0.008905
Phoebe, -5159619994.207397, 0.005194
Janus, -5960438412.511719, 0.005935
Epimetheus, -5765375058.546021, 0.005798
Helene, -5554690384.916870, 0.005659
Telesto, -5647658554.339722, 0.005640
Calypso, -5373150640.078125, 0.005439
Atlas, -5721640563.290527, 0.005704
Prometheus, -5878417179.403931, 0.005963
Pandora, -6014956142.038086, 0.006071
Pan, -5737884647.046021, 0.005763
Ymir, -6303939172.407837, 0.006461
Paaliaq, 540271843.732666, 0.029041
Tarvos, -1605933978.438843, 0.002744
Ijiraq, -5483611586.204102, 0.004898
Suttungr, -6522725522.032471, 0.006690
Kiviuq, -27891923707.799561, 0.027351
Mundilfari, -5478567633.108643, 0.005668
Albiorix, -15138413175.254150, 0.014057
Skathi, -5499245281.554077, 0.005849
Erriapus, -7649074469.397827, 0.010059
Siarnaq, -9341687919.934570, 0.008586
Thrymr, -5211562372.291382, 0.005130
Narvi, -9919236375.933350, 0.009859
Methone, -5287576224.536133, 0.005275
Pallene, -5606541792.344604, 0.005650
Polydeuces, -6115760008.104614, 0.006062
Aegir, -5718038707.059692, 0.006099
Bebhionn, -36409227786.405762, 0.030936
Bergelmir, -12814592101.192627, 0.013638
Bestla, -49870925664.953247, 0.049266
Farbauti, -16856728160.199707, 0.016401
Fenrir, -3710541868.868164, 0.004347
Fornjot, -5847670259.308472, 0.006068
Hati, -6112861269.177246, 0.006279
Hyrrokkin, -4476583309.289185, 0.003876
Kari, -5143083012.409424, 0.005292
Loge, -2649316682.999512, 0.002613
Skoll, -5215794729.942749, 0.005327
Surtur, -5500003105.159790, 0.005514
Anthe, -5433442108.234009, 0.005546
Jarnsaxa, -4002376496.798340, 0.003755
Greip, -4723823729.349365, 0.004731
Tarqeq, -48522382068.584473, 0.049274
Aegaeon, -5742874003.254883, 0.005757
Gridr, -1472326357.708618, 0.001441
Angrboda, -4916513886.680054, 0.004928
Skrymir, -5412268586.165161, 0.005324
Gerd, -5536384720.988281, 0.005545
2004S26, -4933563598.435059, 0.004891
Eggther, -6054199503.296631, 0.006120
2004S29, 8889232283.176880, 0.039449
Beli, -7088796896.818359, 0.007435
Gunnlod, -8072036364.987671, 0.008331
Thiazzi, -8788567932.026611, 0.007937
2004S34, -5974063943.057495, 0.005898
Alvaldi, -5110746887.636841, 0.005106
Geirrod, -3012489114.407715, 0.002939
2004S31, -43518605426.067017, 0.047331
2004S24, -4692131812.518433, 0.004532
2004S28, -4569551225.045898, 0.004704
2004S21, -7573593117.810913, 0.007764
2004S36, -5001296619.792236, 0.005179
2004S37, -4286253962.916260, 0.004416
2004S39, -6751768783.068604, 0.006884
2004S7, -5788009141.774902, 0.005811
2004S12, -4673366265.313232, 0.005046
2004S13, -5320876244.393066, 0.005052
2004S17, -5152443110.676880, 0.005067
2006S1, -2067874474.555908, 0.002552
2006S3, -5401208563.279541, 0.005448
2007S2, -5939502329.664429, 0.005857
2007S3, -5684700163.484253, 0.005634
2019S1, -2752804503.386475, 0.005232
Saturn, -5611022981.603394, 0.005652
Ariel, -581989599.167480, 0.001339
Umbriel, -168751830.420898, 0.001700
Titania, 345555707.085938, 0.001995
Oberon, 892797084.299316, 0.002290
Miranda, -103582662697.488037, 0.056978
Cordelia, -1084308509.191406, 0.000958
Ophelia, 103546977783.699219, 0.069319
Bianca, -75096325.544922, 0.001736
Cressida, 2528948836403.519043, 1.218547
Desdemona, 66992108470.406738, 0.047636
Juliet, -100631606791.500000, 0.063966
Portia, 425670431.841797, 0.002061
Rosalind, 189939960.967529, 0.001908
Belinda, -5745529275.809570, 0.002801
Puck, -209833800609.208496, 0.102516
Caliban, 1154319345.458740, 0.005279
Sycorax, -2986709858.674072, 0.003085
Prospero, 1574898297.132324, 0.001588
Setebos, 103122409.940186, 0.003325
Stephano, 18491911651.041260, 0.008993
Trinculo, 3706226796.181885, 0.001807
Francisco, 3964157527.452637, 0.003479
Margaret, -161276841.681396, 0.003011
Ferdinand, 476492146.090088, 0.001608
Perdita, 294698666.037109, 0.001965
Mab, 335783352.561279, 0.002032
Cupid, 45178069232.726074, 0.033252
Uranus, 225968494.195801, 0.001943
Triton, -1887801493.606262, 0.004168
Nereid, -2402602537.524292, 0.004785
Naiad, -2511366657.490784, 0.004785
Thalassa, -2484969140.243774, 0.004752
Despina, -2556983206.101990, 0.004901
Galatea, -2623550320.106079, 0.004904
Larissa, -2811110572.503723, 0.005099
Proteus, -2764096715.846252, 0.004825
Halimede, -1340504009.680298, 0.003061
Psamathe, -2603814405.374268, 0.004794
Sao, -895964266.438293, 0.003369
Laomedeia, -2905250851.232117, 0.004407
Neso, -2676713825.994568, 0.005329
Hippocamp, -2400400023.367371, 0.004442
Neptune, -2624958707.304382, 0.004857
Charon, -2716117779.336426, 0.001030
Nix, 2450996996.590820, 0.011906
Hydra, -2725621550.771973, 0.001040
Kerberos, -7795804728.879883, 0.002838
Styx, -2704557619.139648, 0.001023
Pluto, -2711355544.791992, 0.001028
Ceres, 15069709457.366333, 0.055912
Pallas, -41020662411.033142, 0.232059
Vesta, -15026915932.779877, 0.089545
Hygiea, -3555579226.711029, 0.054846
Eunomia, 8339445114.968811, 0.024682
Europa, 5768351835.620544, 0.020977
Cybele, -7096052099.957222, 0.193936
Sylvia, -7843042843.429199, 0.041363
Davida, -10096308810.021473, 0.284210
Interamnia, -12940972866.168793, 0.061847
